"DCODE","DISTNAME","DISTCOUNTY","CC","AVG.FTE","RNK.FTE","LOCREV","AVG.LOCREV","RNK.LOCREV","STREV","AVG.STREV","RNK.STREV","FEDREV","AVG.FEDREV","RNK.FEDREV","TOTREV","AVG.TOTREV","RNK.TOTREV","BASINS","AVG.BASINS","RNK.BASINS","ADDINS","AVG.ADDINS","RNK.ADDINS","AEINS","AVG.AEINS","RNK.AEINS","ITOT","AVG.ITOT","RNK.ITOT","ISAL","AVG.ISAL","RNK.ISAL","ISSUP","AVG.ISSUP","RNK.ISSUP","ADM","AVG.ADM","RNK.ADM","FACACQ","AVG.FACACQ","RNK.FACACQ","OPNMNT","AVG.OPNMNT","RNK.OPNMNT","TRANS","AVG.TRANS","RNK.TRANS","SSTOT","AVG.SSTOT","RNK.SSTOT","SSSAL","AVG.SSSAL","RNK.SSSAL","COE","AVG.COE","RNK.COE","TOTEXP","AVG.TOTEXP","RNK.TOTEXP","T.SAL","AVG.T.SAL","RNK.T.SAL","HSEV","AVG.HSEV","RNK.HSEV","NHSEV","AVG.NHSEV","RNK.NHSEV","P.TCHR","AVG.P.TCHR","RNK.P.TCH","GROUP","AEPUPILS.A","AEPUPILS.S","YEAR","id"
5060,"ELK RAPIDS SCHOOLS","ANTRIM",5,1546.45,294,5491258.81,3551,67,5528133.35,3575,705,186690.71,121,681,11257293.77,7279,632,5767086.64,3729,322,867693.57,561,580,0,0,0,6634780.21,4290,516,6326332.86,4091,488,548056.61,354,554,1478981.41,956,463,0,0,0,1049608.29,679,580,697109.31,451,122,3773755.62,2440,578,2848500.4,1842,391,10408535.83,6731,624,10925256.48,7065,676,3620070.78,50105,257,1.61389238836207e-315,211229,28,1.41215208985856e-315,184825,54,72.25,21,348,"K",0,0,2004,"20045060"
5065,"ELLSWORTH COMMUNITY SCHOOLS","ANTRIM",5,251.4,628,697560.37,2775,97,1263601.53,5026,655,125064.58,497,247,2086226.48,8298,235,1094839.96,4355,94,219681.58,874,334,3725,0,0,1318246.54,5244,120,1200665.16,4776,154,116623.25,464,436,324944.46,1293,238,0,0,0,201987.82,803,391,98574.28,392,211,742129.81,2952,311,509758.8,2028,252,2060376.35,8196,164,2122221.08,8442,216,673855.41,47355,342,1.75903619738575e-316,141620,99,1.36408422084512e-316,109822,113,14.23,18,144,"N",0,0,2004,"20045065"
5070,"MANCELONA PUBLIC SCHOOLS","ANTRIM",5,1225.49,357,2906065,2371,126,5936498,4844,665,533540,435,291,10188753,8314,231,4160782,3395,542,1175090.01,959,268,0,0,0,5335872.01,4354,483,5110836,4170,451,715549.15,584,318,1016919,830,614,0,0,0,821464,670,595,615460,502,69,3169392.15,2586,486,2216224.15,1808,412,8505264.16,6940,544,9248486.16,7547,478,2380111,47479,340,4.59979444293258e-316,75970,403,7.3108410396662e-316,120746,96,50.13,24,628,"L",0,0,2004,"20045070"
5901,"CONCORD ACADEMY ANTRIM","ANTRIM",5,182,656,22501,124,642,1269202,6974,147,28038,154,641,1705593,9371,106,730328,4013,182,16337,90,709,0,0,0,746665,4103,569,54926,302,605,1707,9,720,330331,1815,118,0,0,0,79288,436,723,1063,6,617,412389,2266,658,101499,558,590,1159054,6368,691,1397211,7677,437,29706,2026,588,0,0,0,0,0,0,14.66,12,20,"N",0,0,2004,"20045901"
6010,"ARENAC EASTERN SCHOOL DISTRICT","ARENAC",6,396,564,306496.35,774,451,2706559.1,6835,197,205585.48,519,234,3218640.93,8128,269,1734511.96,4380,89,477981.64,1207,130,0,0,0,2212493.6,5587,72,2059790.7,5201,79,182689.33,461,442,585947.11,1480,195,0,0,0,277724.65,701,548,128459.29,324,361,1174820.38,2967,309,739877.35,1868,374,3387313.98,8554,121,3491075.97,8816,166,976557.61,46173,388,1.43009677644505e-316,73095,415,5.82520194678788e-317,29774,418,21.15,19,189,"N",0,0,2004,"20046010"
6020,"AU GRES SIMS SCHOOL DISTRICT","ARENAC",6,532.14,521,1421641.56,2672,105,2355763.81,4427,681,328698.5,618,191,4106103.87,7716,419,2066747.17,3884,234,530424.03,997,245,0,0,0,2597171.2,4881,212,2528522.76,4752,166,299037.9,562,333,555333.43,1044,368,0,0,0,417734.37,785,414,176182.6,331,349,1448288.3,2722,418,992368.33,1865,376,4045459.5,7602,282,4116564.67,7736,412,1312166.58,44510,429,3.53482759361236e-316,134449,116,3.55471561330692e-316,135205,83,29.48,18,144,"M",0,0,2004,"20046020"
6050,"STANDISH STERLING SCHOOL DISTRICT","ARENAC",6,1902.2,251,2178186.3,1145,330,11820463.39,6214,426,942505.27,495,251,15133252.2,7956,324,6752897.42,3550,444,1833067.13,964,265,0,0,0,8585964.55,4514,386,8124397.36,4271,390,1260096.43,662,259,1720575.72,905,522,51238.19,27,9,1465288.98,770,435,750730.88,395,204,5196692.01,2732,411,3681631.9,1935,321,13782656.56,7246,400,15273338.71,8029,308,4341591.46,53600,139,6.62505766654707e-316,70493,428,4.25563478629953e-316,45282,301,81,23,552,"K",0,0,2004,"20046050"
7010,"ARVON TOWNSHIP SCHOOL DISTRICT","BARAGA",7,8,742,244996.04,30625,2,0,0,0,42815.39,5352,4,287811.43,35976,2,86887.53,10861,4,31505.61,3938,2,0,0,0,118393.14,14799,4,94539.14,11817,3,422.65,53,709,22011.97,2751,23,0,0,0,24572.36,3072,4,55249.07,6906,2,102256.05,12782,2,10662.04,1333,558,220649.19,27581,3,251469.2,31434,3,57816.72,57817,60,3.70245384008743e-317,936731,4,8.5545668178461e-317,2164330,3,1,8,3,"N",0,0,2004,"20047010"
7020,"BARAGA TOWNSHIP SCHOOL DISTRICT","BARAGA",7,572.55,507,1109390.46,1938,171,3786907.39,6614,255,925297.81,1616,31,5825542.09,10175,66,2339733.36,4181,122,528081.35,944,279,8589.82,663,165,2876404.53,5024,168,2640002.35,4611,216,534370.25,933,106,666871.8,1165,294,40612.44,71,4,545877.84,953,230,250688.16,438,140,1997808.05,3489,194,1368557.12,2390,129,4874212.58,8513,127,5867542.66,10248,74,1421955.36,43352,451,1.16375295309764e-316,41140,530,9.55748005958652e-317,33787,382,32.8,17,104,"M",8.8,4.16,2004,"20047020"
7040,"L'ANSE AREA SCHOOLS","BARAGA",7,806.89,438,1065429.25,1320,280,4575174.71,5670,576,621353.64,770,144,6272798.6,7774,391,3172879.34,3932,214,890989.83,1104,183,0,0,0,4063869.17,5036,165,3923774.62,4863,132,291338.61,361,547,791370.11,981,430,0,0,0,697104.9,864,316,300827.94,373,247,2080641.56,2579,492,1544820.74,1915,332,6144510.73,7615,279,6390305.46,7920,349,2014953.09,36769,536,2.15960728132967e-316,54172,501,2.47137881039555e-316,61993,232,54.8,15,53,"M",0,0,2004,"20047040"
8010,"DELTON-KELLOGG SCHOOL DISTRICT","BARRY",8,2322.02,204,1988233.23,856,417,12970077.09,5586,594,752480.51,324,410,15710790.83,6766,734,7970939.7,3919,219,1457273.72,716,488,717260.46,2491,110,10145473.88,4369,470,9524031.51,4102,482,747011.51,322,581,1761788.7,759,684,0,0,0,1595398.32,687,569,562688.65,242,474,4666887.18,2010,716,3517543.43,1515,527,14812361.06,6379,690,15575418.46,6708,722,4804072.18,50304,248,1.11929756857019e-315,97565,260,4.28057413315717e-316,37312,358,95.5,21,348,"J",106,181.9,2004,"20048010"
8030,"HASTINGS AREA SCHOOL DISTRICT","BARRY",8,3281.09,138,3194317.96,974,373,20188051.16,6153,454,827919.51,252,511,24210288.63,7379,584,13212105.86,4030,170,2701639.84,824,387,0,0,0,15913745.7,4850,227,15418225.97,4699,182,1192829.21,364,541,2327881.03,709,708,0,0,0,2733229.86,833,354,775798.14,236,482,7029738.24,2143,695,5374336.05,1638,498,22943483.94,6993,521,23641026.98,7205,632,8427071.13,52277,183,1.4684649708357e-315,90586,303,6.65546879043241e-316,41056,327,161.2,20,256,"H",2.4,0,2004,"20048030"
8050,"THORNAPPLE-KELLOGG SCHOOL DISTRICT","BARRY",8,2893.87,162,2642180.49,913,398,17966069.6,6208,430,559537,193,582,21214876.1,7331,612,10900193.73,3767,296,1554687.61,537,588,0,0,0,12454881.34,4304,506,12097329.2,4180,444,2302578.18,796,170,2041038.85,705,710,0,0,0,2073630.23,717,515,1004911.2,347,313,7422158.46,2565,499,5965519.52,2061,233,19877039.8,6869,578,21553982.84,7448,520,6966321.98,53525,140,1.43044707886927e-315,100048,243,4.85605947532452e-316,33964,381,130.15,22,445,"I",0,0,2004,"20048050"
9010,"BAY CITY SCHOOL DISTRICT","BAY",9,9949.18,27,13005602.29,1307,282,58698816.92,5900,531,4283035.23,430,297,76059649.44,7645,446,36373086.59,3695,343,7842123.15,797,418,153278.41,1446,144,44368488.15,4460,425,43086007.24,4331,356,7001314.19,704,224,9024095.52,907,520,0,0,0,7454054.05,749,470,3824547.5,384,226,27304011.26,2744,401,22057108.29,2217,163,71672499.41,7204,421,76265228.05,7665,441,23608029.74,55799,96,4.88935976664967e-315,99467,247,2.46291827711581e-315,50105,282,423.09,23,552,"D",65.17,40.86,2004,"20049010"
9030,"BANGOR TOWNSHIP SCHOOLS","BAY",9,2478.34,193,4125506.25,1665,209,13981575.98,5642,582,1531584.25,618,191,19740831.48,7965,317,8108082.53,3272,584,2475591.11,999,240,0,0,0,10583673.64,4270,521,10100491.52,4076,494,1942272.77,784,179,2372108.43,957,461,0,0,0,1909024.98,770,435,974997.63,393,208,7198403.81,2905,325,5721024.53,2308,143,17782077.45,7175,432,19100144.1,7707,427,5277485.46,47999,323,1.15384470372181e-315,94233,278,8.478248497533e-316,69241,206,109.95,23,552,"J",0,0,2004,"20049030"
9050,"ESSEXVILLE HAMPTON SCHOOL DISTRICT","BAY",9,1924.57,250,4446575.23,2310,128,9358981.44,4863,664,255926.72,133,670,14296914.94,7429,559,8066150.45,4191,121,1391286.05,723,481,0,0,0,9457436.5,4914,203,9205393.45,4783,153,1091499.81,567,329,2163502.84,1124,315,0,0,0,1520119.28,790,411,336120.73,175,525,5111242.66,2656,454,3856994.4,2004,271,14568679.16,7570,285,15052350,7821,385,5193903.34,55848,94,7.38540557515625e-316,77670,389,1.19088991876996e-315,125243,89,93,21,348,"K",0,0,2004,"20049050"
9090,"PINCONNING AREA SCHOOLS","BAY",9,1954.66,249,1464065.92,749,463,12691014.23,6493,303,1250900.68,640,187,15417204.43,7887,346,7476439.29,3825,257,1691495.2,865,342,69122.83,0,0,9237057.32,4726,282,8747206,4475,288,1442960.9,738,203,1593685.94,815,627,0,0,0,1389737.72,711,529,1001228.86,512,58,5427613.42,2777,380,4068186.67,2081,222,14664670.74,7502,308,15620097.47,7991,326,4663943.76,51252,215,9.50807720049473e-316,98455,254,2.64209044742233e-316,27358,443,91,21,348,"K",0,0,2004,"20049090"
9901,"BAY-ARENAC COMMUNITY HIGH SCHOOL","BAY",9,125.23,688,22835.08,182,622,903206.21,7212,77,95213.31,760,147,1045911.39,8352,225,341095.04,2724,679,37348,298,671,0,0,0,378443.04,3022,709,320540.05,2560,599,215631.73,1722,17,199019.79,1589,173,0,0,0,93834.77,749,470,7015.28,56,563,515501.57,4116,108,320289.15,2558,98,893944.61,7138,450,1018723.23,8135,281,191383.93,34797,559,0,0,0,0,0,0,5.5,23,552,"N",0,0,2004,"20049901"
10015,"BENZIE COUNTY CENTRAL SCHOOL","BENZIE",10,2000.82,245,4940508.76,2469,118,9285478.19,4641,677,568130.61,284,469,14893271.45,7444,547,7093291.31,3545,450,1886090.33,943,280,0,0,0,8979381.64,4488,409,8531274.35,4264,394,470620.57,235,633,1867157.31,933,495,0,0,0,1519587.91,759,453,1312984.78,656,25,5170350.57,2584,487,3703992.25,1851,380,14149732.21,7072,482,14780140.54,7387,545,4156651.24,45181,412,1.21647123970584e-315,123058,155,1.22656423504863e-315,124079,91,92,22,445,"J",0,0,2004,"200410015"
10025,"FRANKFORT-ELBERTA AREA SCHOOLS","BENZIE",10,579.27,502,3180399.41,5490,30,1500378.08,2590,722,146324.85,253,507,4829602.34,8337,227,2692707.36,4648,60,507385.86,876,331,0,0,0,3200093.22,5524,80,3083564.82,5323,62,203970.86,352,556,686258.65,1185,282,0,0,0,416354.74,719,513,216179.14,373,247,1522763.39,2629,468,1088478.88,1879,363,4722856.61,8153,172,5131837.36,8859,160,1686045.97,47967,324,4.77093082819509e-316,166701,67,8.19076414867225e-316,286193,25,35.15,16,74,"M",0,0,2004,"200410025"
11010,"BENTON HARBOR AREA SCHOOLS","BERRIEN",11,4942.76,79,6953648.67,1407,253,33356561.2,6749,207,8104358.7,1640,30,48610796,9835,75,16463482.09,3331,559,10837434.6,2193,11,0,0,0,27300916.69,5523,81,24750431.95,5007,102,5429402.87,1098,66,5952317.92,1204,274,0,0,0,5477328.61,1108,171,2373209.6,480,87,19232259,3891,140,13393263.87,2710,77,46533175.69,9414,65,47853003,9681,94,9259519.23,39912,508,1.04460199204889e-315,42776,525,1.66877970714667e-315,68335,208,232,21,348,"E",0,0,2004,"200411010"
11020,"ST. JOSEPH PUBLIC SCHOOLS","BERRIEN",11,2845.51,167,4472781.95,1572,224,15927601.02,5597,587,266016,93,705,20666398.97,7263,643,10882202.77,3824,258,1621462.16,570,577,973.19,0,0,12504638.12,4395,457,11885034.02,4177,447,1521813.78,535,357,2316698.81,814,629,0,0,0,3105726.66,1091,177,894620.75,314,385,7838860,2755,397,5687959.81,1999,276,20343498.12,7149,444,20810570.13,7313,579,7394422.22,52923,160,2.19927786240669e-315,156436,80,1.20255172569864e-315,85538,154,139.72,20,256,"I",0,0,2004,"200411020"
