"YEAR","DISTCOUNTY","TOTEXP.COUNTY","TOTREV.COUNTY","TCHR.SAL.COUNTY","TCHR.NUM.COUNTY","PUPIL.NUM.COUNTY","EXP.PER.PUPIL.COUNTY","REV.PER.PUPIL.COUNTY","TCHR_SA.PER.PUPIL.COUNTY","TCHR_SAL.AVG.COUNTY","PUPIL.PER.TCHR.COUNTY","subregion"
2010,"KALAMAZOO",342282271.646251,341692076.647561,94959344.5760582,1721.91,34275.69,9986.15262438922,9968.93356917282,2770.45756266491,55147.6816883915,19.9056222450651,"KALAMAZOO"
2010,"KALKASKA",21580151.5877953,22192012.475491,5671037.30278528,113.06,2348.09,9190.51296491842,9451.09108913668,2415.17033111392,50159.5374383981,20.7685299840793,"KALKASKA"
2010,"KENT",1047456256.66701,1053457998.7911,271996545.149385,4501.76,103499.88,10120.3620397146,10178.3499535564,2627.98899041607,60420.0457486371,22.9909813050896,"KENT"
2010,"KEWEENAW",164966.349295037,223390.992829652,55782.6943793465,1,4.72,34950.4977319993,47328.6001757737,11818.3674532514,55782.6943793465,4.72,"KEWEENAW"
2010,"LAKE",16822549.9481231,17102031.6876562,1633293.50606405,30.82,528.2,31848.8261039817,32377.9471557293,3092.18762980698,52994.5978606115,17.1382219338092,"LAKE"
2010,"LAPEER",119700936.491,117998092.131799,37169863.5860491,594.8,14005.74,8546.56280146565,8424.98091009819,2653.90215626229,62491.3644688115,23.5469737726967,"LAPEER"
2010,"LEELANAU",27667474.7969433,25933926.8340872,7722752.03025994,128.84,2234.41,12382.4521000816,11606.6106193971,3456.28243261529,59940.6397877983,17.3425178515989,"LEELANAU"
2010,"LENAWEE",147891831.238222,150483076.578662,47295758.6555199,770.84,16513.14,8956.00904723279,9112.92925383431,2864.1287275176,61356.1292298271,21.4222666182347,"LENAWEE"
2010,"LIVINGSTON",248642684.168096,245006142.606397,80869845.8653862,1224.01,29018.14,8568.52590028498,8443.20630496637,2786.87213809659,66069.5957266576,23.7074370307432,"LIVINGSTON"
2010,"LUCE",8703907.3524079,8840959.2589759,2261006.03627295,45.2,851.97,10216.2134258341,10377.0781353521,2653.85639901986,50022.257439667,18.8488938053097,"LUCE"
2010,"MACKINAC",15487690.5074542,15590380.7833718,4164615.33090026,84.02,1431.1,10822.2280116374,10893.9841963328,2910.07989022448,49566.9522839831,17.0328493215901,"MACKINAC"
2010,"MACOMB",1404095631.7235,1364164449.57675,419950593.259668,5608.4,140876,9966.89025613662,9683.44110832757,2980.99458573261,74878.859079179,25.1187504457599,"MACOMB"
2010,"MANISTEE",30571277.0033144,30305074.904223,9273292.30743464,152.54,3224.72,9480.28883230619,9397.73837859503,2875.68914740959,60792.5285658492,21.1401599580438,"MANISTEE"
2010,"MARQUETTE",79384103.0799257,78210515.6775554,22278747.8866253,396.78,8428.6,9418.42098093701,9279.18226960057,2643.23231457482,56148.8681048069,21.2425021422451,"MARQUETTE"
2010,"MASON",41548222.2234313,40299029.4775216,12599329.5601147,204.59,4323.51,9609.83604141804,9320.90580975217,2914.14373046777,61583.3108173162,21.1325577985239,"MASON"
2010,"MECOSTA",56852161.1130992,56352295.7488888,15376369.7552659,291.24,6319.7,8996.02213919953,8916.92576370537,2433.08539254488,52796.2153387785,21.6992858123884,"MECOSTA"
2010,"MENOMINEE",31878974.5928771,30933276.172905,9959786.81726126,179.44,3471.5,9183.05475813831,8910.63695028231,2869.01535856582,55504.8306802344,19.3462995987517,"MENOMINEE"
2010,"MIDLAND",131688999.168479,131929383.538997,41291865.5747442,586.47,13494.68,9758.5862850011,9776.39955441679,3059.86252173036,70407.4642773615,23.0100090371204,"MIDLAND"
2010,"MISSAUKEE",19632314.1294416,19365268.7444516,6220459.97657657,106,2216.46,8857.50887877138,8737.02604353411,2806.48420299783,58683.5846846846,20.91,"MISSAUKEE"
2010,"MONROE",218204947.826296,214160527.353993,61784906.0777445,1027.28,23268.22,9377.81006997081,9203.99271426832,2655.33444662912,60144.1730372873,22.6503192897749,"MONROE"
2010,"MONTCALM",109149314.315293,106953483.759658,31139593.4306722,534.15,12198.73,8947.59653794232,8767.591688615,2552.69142203099,58297.4696820597,22.8376486005804,"MONTCALM"
2010,"MONTMORENCY",8345429.99541529,8311687.72983614,2066535.38436125,40.18,836.31,9978.87146562314,9938.52486498564,2471.01599210968,51431.9408750932,20.8140866102539,"MONTMORENCY"
2010,"MUSKEGON",307213433.772816,301967334.302264,80779168.1519088,1333.21,30579.15,10046.5001078452,9874.94205372825,2641.64203883721,60589.9806871452,22.9364841247815,"MUSKEGON"
2010,"NEWAYGO",79235855.3836003,78506066.029752,23773965.7971329,370.79,9173.3,8637.66097081751,8558.1051562417,2591.6481306763,64117.0630198574,24.7398797162815,"NEWAYGO"
2010,"OAKLAND",2268480642.08136,2219832800.61661,610251649.297797,8985.89,199721.6,11358.2138440778,11114.6355758046,3055.51151852277,67912.2100646454,22.2261345286889,"OAKLAND"
2010,"WAYNE",3545222523.50855,3396703266.69929,753929089.531058,12589.35,313131.78,11321.8227913773,10847.5200655114,2407.70543804611,59886.2601747555,24.8727519689261,"WAYNE"
2010,"OCEANA",36083466.7435896,35622585.3255071,9709726.82139944,166.56,3594.48,10038.5776923476,9910.35847341122,2701.28831469349,58295.6701572973,21.5806916426513,"OCEANA"
2010,"OGEMAW",21670661.4890771,21297880.592981,6027040.92119776,96.99,2317.69,9350.11217594982,9189.27060693233,2600.45170889884,62140.8487596428,23.896174863388,"OGEMAW"
2010,"ONTONAGON",7614708.74764218,7827315.66562297,2130168.05584602,39.02,768.48,9908.79235327163,10185.4513658429,2771.92387029724,54591.697997079,19.6945156330087,"ONTONAGON"
2010,"OSCEOLA",43056558.9757641,41843155.3597102,12991084.0639345,215.3,4444.09,9688.49842729649,9415.46083893671,2923.22704174183,60339.4522244982,20.6413841151881,"OSCEOLA"
2010,"OSCODA",9744545.87578396,9814192.2352057,2661689.55999374,47.84,981.76,9925.58861206809,9996.52892275679,2711.14076759467,55637.3235784644,20.5217391304348,"OSCODA"
2010,"OTSEGO",38745416.151967,38009121.6878876,11549340.6883986,203.2,4196.19,9233.47516484405,9058.00778513069,2752.33978642497,56837.3065373946,20.6505413385827,"OTSEGO"
2010,"OTTAWA",414490274.06248,415945892.121401,122207153.393335,1951.03,44123.02,9393.96881860036,9426.9588101948,2769.6914987536,62637.2497569668,22.6152442555983,"OTTAWA"
2010,"PRESQUE ISLE",14785107.6442028,14174820.2408955,4410379.65116537,83.75,1560.3,9475.810833944,9084.67617823207,2826.62286173516,52661.2495661536,18.630447761194,"PRESQUE ISLE"
2010,"ROSCOMMON",30087619.0661163,30523168.6635067,8622203.7176694,146.65,3180.14,9461.09890322951,9598.05815577513,2711.2654529893,58794.433806133,21.6852369587453,"ROSCOMMON"
2010,"SAGINAW",306207010.140083,303712588.672782,77339769.6149037,1342.07,31700.85,9659.26813129877,9580.58186682004,2439.67494924911,57627.2248205412,23.6208618030356,"SAGINAW"
2010,"ST CLAIR",254258724.024772,247358820.061823,74260814.5853494,1097.1,26224.57,9695.43920166363,9432.33082799159,2831.72668170915,67688.2823674682,23.9035365964816,"ST CLAIR"
2010,"ST JOSEPH",97092472.9702877,97529792.9040433,27853293.6592718,517.97,11260.74,8622.21070465064,8661.04651240001,2473.48696970819,53773.9515015768,21.7401393903122,"ST JOSEPH"
2010,"SANILAC",65113846.1239127,64675007.0531431,19400293.6877414,340.76,7286.91,8935.72805536402,8875.50512537455,2662.34846975486,56932.4265986072,21.3842880619791,"SANILAC"
2010,"SCHOOLCRAFT",8738297.173662,8841102.30872957,2332076.33045047,45.31,999.6,8741.79389121849,8844.64016479548,2333.00953426417,51469.3518086619,22.0613551092474,"SCHOOLCRAFT"
2010,"SHIAWASSEE",114697348.780356,113858544.569253,35835946.7116867,586.84,13374.76,8575.65659349071,8512.94113458879,2679.37119706722,61065.9578619159,22.7911526140004,"SHIAWASSEE"
2010,"TUSCOLA",86263898.5143641,86983533.5372736,25395990.2954492,428.76,9990.79,8634.34208049254,8706.37192226777,2541.94015642899,59231.2489398479,23.3015906334546,"TUSCOLA"
2010,"VAN BUREN",158899314.273148,155434540.292876,45789212.0536993,820.46,17855.1,8899.37968833262,8705.3301461698,2564.48925257765,55809.1949073682,21.7623040733247,"VAN BUREN"
2010,"WASHTENAW",538884070.170565,525802531.705927,148417805.693317,2170.02,46546.8,11577.2527901073,11296.2122359846,3188.57162454384,68394.6717971804,21.4499405535433,"WASHTENAW"
2010,"WEXFORD",44514970.4624695,44535845.1904115,13001383.1954007,232.69,5007.33,8889.96140906821,8894.13024314586,2596.47021374679,55874.2670308166,21.5193175469509,"WEXFORD"
2011,"ALCONA",8116068.9422552,8169825.78356695,2340683.23930495,41.16,835,9719.84304461701,9784.22249528976,2803.21346024545,56867.9115477394,20.2866861030126,"ALCONA"
2011,"ALGER",11769086.5635902,11751376.8229895,2803110.43226458,62.15,1134.28,10375.8212818618,10360.2080817695,2471.26849831133,45102.3400203472,18.2506838294449,"ALGER"
2011,"ALLEGAN",153016236.668862,155400956.778028,45087239.1128059,822.38,18136.87,8436.7499281222,8568.23458391819,2485.94377711292,54825.3108207957,22.0541233979426,"ALLEGAN"
2011,"ALPENA",38803840.3152465,38810970.8194148,10797756.0951253,178.78,4366.64,8886.42991298721,8888.06286284531,2472.78367237172,60396.8905645221,24.4246560017899,"ALPENA"
2011,"ANTRIM",36234481.1488497,36498185.8951891,10124709.3138014,191.48,3907.21,9273.74805778284,9341.23988605401,2591.28874921014,52876.0670242393,20.4053164821391,"ANTRIM"
2011,"ARENAC",22435947.7833511,21937716.6141365,6119888.05033414,103.14,2404.1,9332.36877973092,9125.12649812258,2545.60461309186,59335.7383200905,23.3090944347489,"ARENAC"
2011,"BARAGA",13294799.3671498,13078866.3325206,3701141.97595567,74.01,1288.11,10321.1677319094,10153.5321770039,2873.3120431917,50008.6741785659,17.4045399270369,"BARAGA"
2011,"BARRY",63942018.3165073,64481438.0413023,20059531.2836191,306.44,7680.63,8325.10071654373,8395.33189872475,2611.7038945528,65459.8984584881,25.064058216943,"BARRY"
2011,"BAY",126324431.938359,129079093.968786,35910829.8248281,595.56,14885.36,8486.48819634588,8671.54667195059,2412.49320304165,60297.5851716504,24.9938881053126,"BAY"
2011,"BENZIE",20827978.937303,20713717.1899311,5779569.00872458,99.58,2310.7,9013.70967122649,8964.26069586322,2501.21998040619,58039.4558016125,23.2044587266519,"BENZIE"
2011,"BERRIEN",251185225.190815,253427398.351022,59634883.3065849,1173.37,26563.3,9456.10015287314,9540.50883553708,2245.01034534809,50823.5963989065,22.6384686842173,"BERRIEN"
2011,"BRANCH",45523886.0767816,47858040.3085999,14898259.5881565,261.58,5743.39,7926.3093881456,8332.71644596656,2593.98362085049,56954.8879431015,21.9565333741112,"BRANCH"
